"Model","Scenario","Region","Variable","Unit","2010","2015","2020","2025","2030","2035","2040","2045","2050","2055","2060","2065","2070","2075","2080","2085","2090","2095","2100"
"MESSAGE-GLOBIOM 1.0","SSP1-19","World","Emissions|CH4","Mt CH4/yr",325.3495192,"",299.139266,"",231.4520982,"",190.4762925,"",161.8234603,"",145.1728558,"",127.6310142,"",106.4016657,"",86.75182576,"",72.4267456
"MESSAGE-GLOBIOM 1.0","SSP2-19","World","Emissions|CH4","Mt CH4/yr",325.8025452,"",329.6535424,"",267.6575185,"",219.9274489,"",192.0422204,"",169.0659854,"",146.7248379,"",127.4541507,"",112.9989254,"",103.2371543
"MESSAGEix-GLOBIOM 1.0","LowEnergyDemand","World","Emissions|CH4","Mt CH4/yr",327.919068,"",332.9353005,"",220.5706407,"",180.920245,"",144.5045724,"",127.7630361,"",117.2521928,"",109.2133823,"",101.6837768,"",94.27192984
"POLES ADVANCE","ADVANCE_2020_1.5C-2100","World","Emissions|CH4","Mt CH4/yr",339.2199048,359.4504048,361.2939524,245.491381,171.0883095,140.9825952,125.8315595,117.4318214,111.9305952,108.2852381,104.8598571,102.4049286,101.0631548,100.1924167,99.61209524,98.93804762,99.1157619,99.00848214,98.48836905
"REMIND 1.5","EMC_Def_100$","World","Emissions|CH4","Mt CH4/yr",378.6830139,"",324.3729858,"",263.1019897,"",251.973999,"",234.0339966,"",235.552002,"",238.2120056,"",235.3390045,"",223.8350067,"",209.2740021
"REMIND 1.5","EMC_LimSW_100$","World","Emissions|CH4","Mt CH4/yr",378.6830139,"",325.7780151,"",269.4299927,"",259.8179932,"",239.9190063,"",240.7510071,"",241.9750061,"",237.9389954,"",225.6620026,"",210.279007
"REMIND 1.5","EMC_NucPO_100$","World","Emissions|CH4","Mt CH4/yr",378.6830139,"",324.7619934,"",266.5830078,"",253.1600037,"",233.4980011,"",235.1759949,"",237.9799957,"",235.0359955,"",223.6419983,"",209.2109985
"REMIND 1.5","EMC_lowEI_100$","World","Emissions|CH4","Mt CH4/yr",378.6830139,"",321.8070068,"",260.4599915,"",250.0110016,"",232.1609955,"",234.4830017,"",237.8890076,"",234.6629944,"",223.5440063,"",209.5449982
"REMIND 1.7","CEMICS-1.5-CDR12","World","Emissions|CH4","Mt CH4/yr",377.0226,424.9628,404.2283,322.9083,263.1263,240.1074,229.5968,222.3753,213.0524,214.9325,214.3146,"",209.3339,"",201.8101,"",190.9194,"",175.3833
"REMIND 1.7","CEMICS-1.5-CDR8","World","Emissions|CH4","Mt CH4/yr",377.0226,424.9628,404.2283,309.1113,252.5066,230.0036,222.0668,215.8972,206.7149,208.6552,208.6731,"",205.4561,"",199.9974,"",190.5768,"",175.3384
"REMIND-MAgPIE 1.7-3.0","PEP_1p5C_red_eff","World","Emissions|CH4","Mt CH4/yr",371.1376,413.7906,411.6572,294.2495,247.7105,221.008,221.2459,204.7157,201.7327,192.9673,192.434,"",187.3316,"",179.8022,"",167.4111,"",150.4113
